,median_income,sa2_code,sa2_name
56,54133.0,206051134,St Kilda East
184,54155.0,211021262,Warrandyte - Wonga Park
111,54167.0,209031214,Research - North Warrandyte
262,54168.0,213021341,Altona
145,54505.0,210021232,Gisborne
304,54529.0,214021381,Mount Eliza
16,54618.0,206011106,Brunswick East
120,54620.0,209011202,Montmorency - Briar Hill
5,54622.0,206071142,Fitzroy
143,54804.0,210011230,Niddrie - Essendon West
94,54869.0,208031189,Edithvale - Aspendale
60,54876.0,206071140,Carlton North - Princes Hill
110,54993.0,209031213,Plenty - Yarrambat
106,55062.0,209031209,Eltham
17,55080.0,206011109,Pascoe Vale South
7,55310.0,213051466,Point Cook - South
13,55336.0,208011171,Cheltenham - Highett (West)
86,55608.0,208021178,Caulfield - South
98,56029.0,208031193,Mordialloc - Parkdale
147,56058.0,210021233,Macedon
154,56136.0,210031439,Gowanbrae
70,56500.0,207011151,Hawthorn
43,56597.0,206031114,Essendon - Aberfeldie
3,56825.0,206071141,Collingwood
71,56881.0,207011154,Kew East
144,56942.0,210011231,Strathmore
85,57104.0,208011168,Beaumaris
11,57439.0,207031167,Surrey Hills (East) - Mont Albert
66,57447.0,207011149,Camberwell
82,57450.0,208021177,Caulfield - North
36,57528.0,206021110,Alphington - Fairfield
14,57701.0,208011172,Hampton
42,57996.0,206031113,Ascot Vale
105,58012.0,208041195,Malvern East
39,58023.0,206041127,West Melbourne
59,58359.0,206071139,Abbotsford
38,58653.0,206021111,Northcote
0,58667.0,206061136,Prahran - Windsor
88,59067.0,208021179,Elsternwick
12,59126.0,208011170,Brighton East
117,59140.0,209011200,Ivanhoe
68,59400.0,207011153,Kew
61,59458.0,206071143,Fitzroy North
47,59800.0,206031116,Moonee Ponds
64,60353.0,207011146,Ashburton (Vic.)
89,60421.0,208011173,Sandringham - Black Rock
21,60511.0,206041120,Flemington Racecourse
271,60578.0,213031350,Seddon - Kingsville
37,60906.0,207011152,Hawthorn East
57,60908.0,206061137,South Yarra - East
119,60959.0,209011201,Ivanhoe East - Eaglemont
72,61533.0,207011155,Surrey Hills (West) - Canterbury
54,61627.0,206051132,South Melbourne
266,62563.0,213021346,Williamstown
69,63193.0,207011150,Glen Iris - East
46,63505.0,206041121,Kensington (Vic.)
264,63703.0,213021344,Newport
62,63992.0,206071144,Richmond (Vic.)
52,64056.0,206051129,Elwood
24,64075.0,206061135,Armadale
272,64295.0,213031352,Yarraville
63,64478.0,206071145,Yarra - North
103,64668.0,208041194,Malvern - Glen Iris
22,65330.0,206041125,South Yarra - West
8,65632.0,208031192,Moorabbin Airport
51,66160.0,206051128,Albert Park
87,66389.0,208011169,Brighton (Vic.)
19,70034.0,206041119,East Melbourne
58,71282.0,206061138,Toorak
41,73296.0,206051130,Port Melbourne
