fid, percentile_ratos_p20_p50_ratio, percentile_ratos_p80_p20_ratio, income_share_top_5pc_pc, median_aud, highest_quartile_pc, median_age_of_earners_years, sa2_code, third_quartile_pc, sa2_name, percentile_ratos_p80_p50_ratio, earners_persons, gini_coefficient_coef, income_share_top_1pc_pc, lowest_quartile_pc, mean_aud, sum_aud, second_quartile_pc, percentile_ratos_p10_p50_ratio, income_share_top_10pc_pc
730,0.3,8.05,34.2,61533.0,40.2,48.0,"207011155",17.6,"Surrey Hills (West) - Canterbury",2.44,10940.0,0.611,16.7,24.0,110484.0,1.208700188E9,18.2,0.13,46.4
731,0.36,5.71,21.6,45948.0,26.1,47.0,"207021156",21.7,"Bulleen",2.05,6722.0,0.498,7.6,27.8,62169.0,4.17897834E8,24.3,0.14,33.8
732,0.33,6.38,24.9,40490.0,22.0,45.0,"207021157",21.2,"Doncaster",2.11,12974.0,0.527,10.8,31.7,57534.0,7.46446134E8,25.0,0.12,36.7
733,0.34,6.53,27.1,47589.0,30.0,49.0,"207021159",19.5,"Templestowe",2.25,10665.0,0.551,11.5,27.8,74005.0,7.89258754E8,22.7,0.14,39.4
762,0.39,4.64,21.0,52287.0,27.5,45.0,"208031185",26.3,"Carrum - Patterson Lakes",1.81,7247.0,0.459,8.3,22.2,65850.0,4.77213384E8,23.9,0.19,32.0
734,0.33,6.48,21.2,45352.0,27.5,47.0,"207021160",20.6,"Templestowe Lower",2.13,8015.0,0.502,7.5,28.9,62193.0,4.98480211E8,23.0,0.12,33.3
739,0.31,7.22,21.7,37979.0,22.2,38.0,"207031163",19.4,"Box Hill",2.27,11812.0,0.52,7.4,34.8,53861.0,6.36211325E8,23.6,0.12,34.3
735,0.33,6.51,22.0,42351.0,24.7,47.0,"207021424",20.6,"Doncaster East (North)",2.13,9355.0,0.513,7.9,30.3,58858.0,5.50614075E8,24.4,0.12,34.3
736,0.31,6.87,20.7,40785.0,22.4,43.0,"207021425",21.5,"Doncaster East (South)",2.1,8008.0,0.502,7.2,32.4,54678.0,4.37861403E8,23.8,0.11,32.8
737,0.32,6.38,22.0,48951.0,29.0,44.0,"207031161",21.5,"Blackburn",2.06,13297.0,0.501,8.4,27.4,66107.0,8.79027406E8,22.2,0.13,33.9
752,0.34,6.37,31.0,57450.0,36.1,41.0,"208021177",20.9,"Caulfield - North",2.17,14098.0,0.566,14.8,23.1,93254.0,1.314700634E9,20.0,0.16,42.5
741,0.31,7.67,23.1,35735.0,21.5,39.0,"207031165",18.1,"Burwood",2.36,6364.0,0.532,7.9,36.4,53303.0,3.39222302E8,24.1,0.12,35.8
740,0.32,6.49,21.8,46114.0,27.1,44.0,"207031164",21.3,"Box Hill North",2.09,10383.0,0.506,7.6,29.0,62894.0,6.53032654E8,22.6,0.12,34.0
744,0.33,7.1,26.9,57104.0,37.2,50.0,"208011168",18.4,"Beaumaris",2.36,9083.0,0.552,11.1,24.0,90674.0,8.23588285E8,20.4,0.14,39.3
753,0.35,6.04,24.4,55608.0,34.9,45.0,"208021178",20.7,"Caulfield - South",2.12,11673.0,0.519,9.6,23.5,80622.0,9.41097376E8,21.0,0.16,36.5
745,0.3,8.45,35.9,66389.0,43.0,50.0,"208011169",17.0,"Brighton (Vic.)",2.57,16039.0,0.625,15.5,22.1,128678.0,2.063860976E9,17.9,0.13,48.6
754,0.37,5.52,28.5,59067.0,36.0,42.0,"208021179",22.0,"Elsternwick",2.03,7717.0,0.535,12.9,21.0,89585.0,6.91326961E8,21.0,0.18,40.0
749,0.32,7.1,28.5,60421.0,39.1,49.0,"208011173",19.0,"Sandringham - Black Rock",2.28,10925.0,0.56,11.8,23.1,96801.0,1.057551343E9,18.8,0.14,40.9
763,0.41,4.2,16.8,53769.0,26.8,42.0,"208031186",28.4,"Chelsea - Bonbeach",1.71,8431.0,0.414,5.6,20.9,61711.0,5.20285938E8,23.9,0.2,27.5
765,0.38,4.77,19.6,51032.0,26.7,43.0,"208031188",26.0,"Cheltenham - Highett (East)",1.84,13505.0,0.453,7.5,23.3,62833.0,8.48554385E8,24.1,0.16,30.6
767,0.36,5.17,21.4,52385.0,28.8,44.0,"208031190",24.5,"Mentone",1.87,8337.0,0.475,7.9,23.9,66945.0,5.58116391E8,22.8,0.15,32.8
768,0.38,4.92,19.2,50347.0,26.6,43.0,"208031191",25.2,"Moorabbin - Heatherton",1.88,5288.0,0.467,6.6,23.8,62469.0,3.30337951E8,24.3,0.17,30.7
766,0.39,4.8,19.3,54869.0,30.9,44.0,"208031189",24.5,"Edithvale - Aspendale",1.85,7770.0,0.45,7.4,21.5,67797.0,5.26781822E8,23.1,0.18,30.3
773,0.35,5.33,17.4,44655.0,21.6,43.0,"209011196",25.0,"Bundoora - East",1.88,5474.0,0.446,5.4,27.9,53355.0,2.92065118E8,25.4,0.14,28.7
781,0.38,4.58,15.4,53514.0,27.0,42.0,"209011204",27.4,"Watsonia",1.76,5290.0,0.411,4.5,22.2,60045.0,3.17638064E8,23.5,0.18,26.1
786,0.38,4.92,17.8,50434.0,27.0,40.0,"209021429",25.3,"Preston - West",1.85,7332.0,0.442,5.5,24.1,60989.0,4.47173594E8,23.7,0.19,29.0
770,0.38,4.94,19.3,56029.0,31.9,44.0,"208031193",24.6,"Mordialloc - Parkdale",1.86,12368.0,0.454,6.6,21.4,69800.0,8.6328663E8,22.1,0.18,30.6
782,0.34,6.22,21.9,41291.0,23.0,40.0,"209021205",21.4,"Kingsbury",2.11,5665.0,0.501,7.6,31.2,56804.0,3.21796386E8,24.4,0.15,33.9
783,0.39,4.4,15.7,44424.0,17.6,37.0,"209021207",28.4,"Reservoir - East",1.73,14112.0,0.409,4.7,26.4,50178.0,7.08110835E8,27.7,0.18,26.2
784,0.4,4.49,16.1,46001.0,20.9,39.0,"209021208",26.7,"Reservoir - West",1.79,13053.0,0.419,4.8,25.6,53200.0,6.94418903E8,26.8,0.19,26.9
811,null,null,null,24967.0,null,48.0,"210011227",null,"Essendon Airport",null,18.0,null,null,null,40259.0,724667.0,null,null,null
771,0.34,6.68,31.7,64668.0,40.3,43.0,"208041194",20.8,"Malvern - Glen Iris",2.25,13978.0,0.578,12.8,20.9,108873.0,1.521823265E9,18.1,0.15,44.2
810,0.4,4.23,16.3,53575.0,26.3,41.0,"210011226",29.4,"Airport West",1.71,4480.0,0.407,5.2,21.0,60758.0,2.72197583E8,23.3,0.19,26.8
772,0.31,7.35,30.2,58012.0,37.3,44.0,"208041195",19.2,"Malvern East",2.28,13497.0,0.576,12.9,24.7,94521.0,1.275748981E9,18.8,0.13,42.4
787,0.37,5.29,20.1,55062.0,33.2,47.0,"209031209",21.8,"Eltham",1.96,14815.0,0.47,7.0,22.4,71145.0,1.054015571E9,22.6,0.16,31.7
788,0.4,4.77,17.5,49592.0,27.3,45.0,"209031210",23.4,"Hurstbridge",1.89,2219.0,0.443,6.1,23.2,59983.0,1.33103E8,26.0,0.19,28.5
789,0.4,4.57,17.7,45239.0,20.8,45.0,"209031211",26.5,"Kinglake",1.8,2261.0,0.441,5.9,26.0,54016.0,1.22131304E8,26.8,0.16,28.6
790,0.38,5.23,20.9,48770.0,27.6,49.0,"209031212",22.6,"Panton Hill - St Andrews",2.0,3291.0,0.481,6.9,25.1,64443.0,2.12081215E8,24.7,0.18,32.8
791,0.39,4.93,25.1,54993.0,31.5,46.0,"209031213",23.9,"Plenty - Yarrambat",1.92,6210.0,0.496,12.4,21.5,75061.0,4.66127888E8,23.2,0.2,36.0
792,0.36,5.92,25.6,54167.0,34.1,47.0,"209031214",19.8,"Research - North Warrandyte",2.13,4332.0,0.527,11.3,23.4,79708.0,3.45296476E8,22.6,0.16,37.5
897,0.46,3.45,14.1,50947.0,19.1,35.0,"212031301",34.0,"Cranbourne East",1.57,17511.0,0.365,4.1,19.8,54500.0,9.54342319E8,27.1,0.24,24.0
775,0.34,5.73,20.6,53646.0,31.8,43.0,"209011198",22.0,"Heidelberg - Rosanna",1.96,9126.0,0.57,6.9,24.1,64034.0,5.84375789E8,22.0,0.14,32.8
795,0.36,4.93,16.1,41720.0,16.8,41.0,"209041217",26.7,"Bundoora - West",1.79,3388.0,0.435,4.7,28.8,48100.0,1.62964058E8,27.7,0.12,27.1
796,0.42,4.1,15.5,41250.0,13.8,38.0,"209041219",27.3,"Lalor",1.71,10618.0,0.401,4.8,27.4,46445.0,4.9315293E8,31.5,0.21,25.9
776,0.37,4.83,16.8,46681.0,21.5,37.0,"209011199",26.9,"Heidelberg West",1.79,7362.0,0.431,5.0,26.4,54413.0,4.00590743E8,25.2,0.18,27.8
777,0.34,5.98,24.8,59140.0,36.8,44.0,"209011200",21.1,"Ivanhoe",2.04,7720.0,0.515,10.3,22.3,83451.0,6.44240172E8,19.8,0.16,36.5
848,0.34,5.6,19.9,45470.0,23.2,46.0,"211011260",24.2,"Wantirna South",1.92,11019.0,0.474,6.7,27.7,57115.0,6.29346366E8,24.9,0.13,31.4
